client_id,average_check,number_orders,average_score,items_per_order,is_friend,last_check,last_score,last_scored_after_order_days,last_late_by_minutes,is_last_order_fullfilled,items_share_category_1,items_share_category_2,items_share_category_3,items_share_category_4,items_share_category_5,items_share_category_6,items_share_category_7,items_share_category_8,items_share_category_9,items_share_category_10,items_share_category_11,items_share_category_12,items_share_category_13,items_share_category_14,items_share_category_15,items_share_category_16,items_share_category_17,items_share_category_18,items_share_category_19,items_share_category_20,items_share_category_21,items_share_category_22,items_share_category_23,items_share_category_24,items_share_category_25,items_share_category_26,items_share_category_27
5733,53500,9,10.0,18.5556,1,9590.0,,,0,1,0.05,0.0,0.0,0.07,0.07,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.12,0.0,0.0,0.17,0.0,0.09,0.0,0.0,0.0,0.0,0.01,0.35,0.01,0.0,0.02
1559,41800,31,8.0,11.3548,0,4839.0,8.0,12.0,0,1,0.01,0.0,0.0,0.06,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.06,0.14,0.0,0.02,0.11,0.01,0.06,0.0,0.0,0.0,0.01,0.02,0.38,0.01,0.01,0.03
8709,137900,12,10.0,31.75,0,33861.0,10.0,6.0,0,1,0.0,0.01,0.01,0.01,0.0,0.05,0.03,0.0,0.01,0.0,0.01,0.01,0.13,0.0,0.03,0.23,0.01,0.02,0.0,0.0,0.0,0.0,0.02,0.35,0.09,0.0,0.0
659,26700,27,10.0,10.7407,0,8130.0,10.0,0.0,0,1,0.04,0.0,0.0,0.06,0.03,0.02,0.02,0.0,0.0,0.01,0.02,0.04,0.21,0.02,0.03,0.09,0.02,0.14,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.0,0.04
11662,31900,16,8.7273,8.875,0,11428.0,10.0,2.0,0,1,0.01,0.01,0.0,0.06,0.08,0.0,0.01,0.0,0.0,0.0,0.01,0.09,0.08,0.01,0.0,0.2,0.01,0.17,0.0,0.0,0.0,0.0,0.02,0.24,0.01,0.0,0.0
8857,27700,7,10.0,10.1429,0,7091.0,,,0,1,0.01,0.0,0.0,0.07,0.01,0.45,0.0,0.0,0.0,0.0,0.0,0.01,0.2,0.0,0.0,0.07,0.01,0.13,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01
7430,32300,10,10.0,14.9,0,11471.0,10.0,0.0,0,1,0.0,0.0,0.0,0.01,0.03,0.0,0.01,0.0,0.01,0.0,0.03,0.13,0.21,0.0,0.0,0.21,0.01,0.06,0.0,0.0,0.0,0.0,0.0,0.05,0.17,0.0,0.05
1733,69500,17,6.0,25.1765,1,8741.0,,,0,1,0.0,0.0,0.0,0.01,0.03,0.02,0.05,0.0,0.0,0.0,0.01,0.02,0.1,0.0,0.01,0.24,0.04,0.04,0.0,0.0,0.0,0.0,0.02,0.33,0.02,0.01,0.03
11716,53500,13,9.7778,19.4615,0,609.0,,,0,1,0.0,0.01,0.0,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.17,0.0,0.0,0.17,0.06,0.0,0.0,0.0,0.0,0.0,0.01,0.45,0.0,0.01,0.03
5626,44200,9,,7.8889,0,11015.0,,,0,1,0.0,0.0,0.0,0.17,0.31,0.01,0.0,0.0,0.0,0.0,0.0,0.08,0.04,0.0,0.04,0.07,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
