client_id,average_check,number_orders,average_score,items_per_order,is_friend,last_check,last_score,last_scored_after_order_days,last_late_by_minutes,is_last_order_fullfilled,items_share_category_1,items_share_category_2,items_share_category_3,items_share_category_4,items_share_category_5,items_share_category_6,items_share_category_7,items_share_category_8,items_share_category_9,items_share_category_10,items_share_category_11,items_share_category_12,items_share_category_13,items_share_category_14,items_share_category_15,items_share_category_16,items_share_category_17,items_share_category_18,items_share_category_19,items_share_category_20,items_share_category_21,items_share_category_22,items_share_category_23,items_share_category_24,items_share_category_25,items_share_category_26,items_share_category_27,is_churn
301,49300,7,10.0,23.4286,0,9250.0,,,0,1,0.0,0.0,0.0,0.0,0.01,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0
9394,58900,7,10.0,5.4286,0,24547.0,,,0,1,0.0,0.0,0.0,0.29,0.11,0.16,0.0,0.0,0.0,0.0,0.0,0.39,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0
6680,43100,6,10.0,15.3333,0,6017.0,,,0,0,0.02,0.0,0.0,0.03,0.09,0.01,0.0,0.0,0.0,0.0,0.03,0.22,0.1,0.0,0.0,0.14,0.05,0.07,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.02,0
4774,33900,8,4.0,9.625,0,7316.0,,,0,1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.19,0.12,0.05,0.0,0.0,0.01,0.0,0.06,0.35,0.0,0.0,0.17,0
2722,37900,9,10.0,14.2222,0,2175.0,10.0,0.0,0,1,0.0,0.02,0.01,0.02,0.03,0.03,0.0,0.0,0.02,0.0,0.0,0.02,0.2,0.0,0.0,0.16,0.14,0.08,0.0,0.0,0.0,0.0,0.04,0.22,0.0,0.0,0.01,0
10851,32700,10,10.0,11.5,0,6845.0,10.0,1.0,0,1,0.0,0.02,0.0,0.07,0.01,0.1,0.03,0.0,0.0,0.0,0.01,0.04,0.09,0.01,0.07,0.14,0.05,0.09,0.0,0.0,0.0,0.0,0.0,0.23,0.04,0.0,0.01,1
12455,77300,12,9.3333,20.4167,1,10634.0,,,0,1,0.0,0.0,0.0,0.04,0.06,0.13,0.03,0.0,0.02,0.01,0.02,0.02,0.06,0.0,0.0,0.18,0.01,0.07,0.0,0.0,0.0,0.0,0.03,0.16,0.09,0.01,0.06,0
3252,42300,7,10.0,5.5714,0,7672.0,,,0,1,0.0,0.26,0.0,0.08,0.13,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.18,0.0,0.05,0.03,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4893,77700,15,10.0,16.6667,1,23136.0,,,0,1,0.0,0.01,0.0,0.04,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.15,0.0,0.05,0.2,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.36,0.01,0.0,0.06,0
1359,25800,79,10.0,6.5823,1,9099.0,10.0,0.0,0,1,0.04,0.01,0.0,0.01,0.1,0.02,0.02,0.0,0.0,0.0,0.05,0.05,0.04,0.0,0.0,0.14,0.02,0.04,0.0,0.0,0.0,0.0,0.01,0.34,0.05,0.0,0.07,0
1312,132400,8,10.0,32.375,0,16230.0,,,0,1,0.0,0.0,0.0,0.04,0.06,0.0,0.05,0.0,0.0,0.0,0.02,0.08,0.13,0.0,0.0,0.25,0.0,0.09,0.0,0.0,0.0,0.0,0.01,0.17,0.06,0.0,0.02,0
13072,91700,18,10.0,9.3333,0,13760.0,10.0,13.0,0,1,0.0,0.0,0.0,0.21,0.13,0.01,0.04,0.0,0.01,0.0,0.0,0.07,0.22,0.0,0.01,0.17,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0
1429,104100,12,10.0,27.0,0,37509.0,,,0,1,0.0,0.01,0.0,0.02,0.03,0.02,0.02,0.0,0.0,0.0,0.04,0.02,0.1,0.0,0.0,0.21,0.02,0.05,0.0,0.0,0.0,0.01,0.0,0.35,0.02,0.02,0.05,0
13586,121100,10,9.6667,34.5,0,44857.0,,,0,1,0.0,0.0,0.0,0.07,0.06,0.07,0.01,0.0,0.0,0.0,0.02,0.04,0.13,0.0,0.0,0.19,0.03,0.08,0.0,0.0,0.0,0.0,0.01,0.22,0.04,0.0,0.02,0
1441,50200,22,10.0,13.5,1,16883.0,,,0,1,0.0,0.01,0.0,0.02,0.09,0.02,0.04,0.0,0.01,0.0,0.02,0.03,0.03,0.03,0.0,0.29,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.22,0.03,0.05,0.04,0
357,30300,8,8.0,12.5,0,6903.0,6.0,4.0,37,1,0.0,0.03,0.0,0.01,0.05,0.01,0.0,0.0,0.0,0.0,0.03,0.05,0.26,0.0,0.0,0.22,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.21,0.0,0.01,0
7373,92600,11,9.0,16.8182,0,52727.0,,,0,1,0.0,0.0,0.0,0.04,0.07,0.15,0.0,0.01,0.0,0.0,0.04,0.05,0.1,0.01,0.0,0.09,0.04,0.05,0.0,0.0,0.0,0.0,0.01,0.15,0.08,0.0,0.12,1
3108,98200,16,,26.3125,0,26200.0,,,0,1,0.0,0.0,0.0,0.05,0.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.01,0.0,0.15,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.32,0.03,0.01,0.05,1
6493,35600,17,,11.7647,0,11864.0,,,0,1,0.0,0.0,0.0,0.04,0.07,0.0,0.01,0.0,0.0,0.0,0.0,0.07,0.12,0.0,0.0,0.3,0.01,0.08,0.0,0.0,0.0,0.0,0.0,0.26,0.03,0.0,0.04,0
6029,147700,10,8.0,25.5,0,50267.0,,,0,1,0.0,0.0,0.0,0.04,0.09,0.07,0.02,0.0,0.0,0.0,0.0,0.04,0.05,0.0,0.0,0.19,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.45,0.01,0.0,0.0,0
153,58200,24,10.0,8.3333,1,8205.0,10.0,0.0,0,1,0.0,0.0,0.0,0.07,0.28,0.08,0.0,0.0,0.0,0.0,0.0,0.03,0.11,0.0,0.0,0.26,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.01,0
3069,83900,8,7.2,14.125,1,8240.0,,,0,1,0.0,0.0,0.0,0.01,0.05,0.0,0.02,0.0,0.0,0.0,0.01,0.02,0.09,0.0,0.0,0.42,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.0,0.04,1
3940,52800,16,8.1818,10.75,0,25674.0,8.0,6.0,0,1,0.0,0.01,0.0,0.01,0.22,0.01,0.0,0.0,0.0,0.0,0.01,0.59,0.01,0.0,0.0,0.03,0.0,0.05,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.01,0
6666,52800,13,,19.9231,0,11724.0,,,0,1,0.0,0.0,0.0,0.07,0.08,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.06,0.0,0.0,0.34,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.0,0.02,0
1480,14200,8,2.0,4.375,0,4068.0,2.0,4.0,0,1,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.09,0.14,0.0,0.0,0.17,0.26,0.0,0.0,0.0,0.03,0.0,0.03,0.11,0.0,0.03,0.03,0
4784,18700,6,9.6,7.3333,0,6473.0,,,0,1,0.02,0.0,0.0,0.05,0.16,0.02,0.11,0.0,0.0,0.0,0.0,0.09,0.02,0.0,0.0,0.11,0.0,0.2,0.0,0.0,0.0,0.0,0.02,0.11,0.02,0.0,0.05,0
6003,65200,15,7.4,13.5333,0,34538.0,10.0,0.0,0,1,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.26,0.07,0.03,0.0,0.0,0.0,0.0,0.04,0.36,0.06,0.0,0.03,0
10988,58000,6,8.0,9.8333,0,32254.0,,,0,1,0.0,0.0,0.0,0.02,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.22,0.25,0.05,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.0,0.15,1
10456,32700,28,9.7391,11.8929,1,6267.0,10.0,2.0,0,1,0.0,0.01,0.0,0.04,0.1,0.0,0.02,0.0,0.01,0.0,0.0,0.08,0.07,0.0,0.0,0.18,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.38,0.02,0.01,0.01,0
